,date,elev,unit,elevft
857,2015-05-08,1278.8785779999841,ft,4195.79585958
858,2015-05-09,1278.8968659999841,ft,4195.8558595800005
859,2015-05-10,1278.8877219999843,ft,4195.825859580001
860,2015-05-11,1278.8389539999841,ft,4195.66585958
861,2015-05-12,1278.8420019999842,ft,4195.67585958
862,2015-05-13,1278.8785779999841,ft,4195.79585958
863,2015-05-14,1278.8206659999842,ft,4195.6058595800005
864,2015-05-15,1278.8420019999842,ft,4195.67585958
865,2015-05-16,1278.854193999984,ft,4195.71585958
866,2015-05-17,1278.8877219999843,ft,4195.825859580001
867,2015-05-18,1278.8877219999843,ft,4195.825859580001
868,2015-05-19,1278.8999139999842,ft,4195.865859580001
869,2015-05-20,1278.8968659999841,ft,4195.8558595800005
870,2015-05-21,1278.8877219999843,ft,4195.825859580001
871,2015-05-22,1278.8999139999842,ft,4195.865859580001
872,2015-05-23,1278.9090579999843,ft,4195.89585958
873,2015-05-24,1278.933441999984,ft,4195.97585958
874,2015-05-25,1278.933441999984,ft,4195.97585958
875,2015-05-26,1278.927345999984,ft,4195.95585958
876,2015-05-27,1278.9395379999844,ft,4195.995859580001
877,2015-05-28,1278.9456339999842,ft,4196.01585958
878,2015-05-29,1278.9395379999844,ft,4195.995859580001
879,2015-05-30,1278.930393999984,ft,4195.96585958
880,2015-05-31,1278.9364899999841,ft,4195.985859580001
881,2015-06-01,1278.9212499999842,ft,4195.93585958
882,2015-06-02,1278.9486819999843,ft,4196.0258595800005
883,2015-06-03,1278.970017999984,ft,4196.09585958
884,2015-06-04,1278.9364899999841,ft,4195.985859580001
885,2015-06-05,1278.9425859999842,ft,4196.00585958
886,2015-06-06,1278.915153999984,ft,4195.91585958
887,2015-06-07,1278.9090579999843,ft,4195.89585958
888,2015-06-08,1278.9090579999843,ft,4195.89585958
889,2015-06-09,1278.9182019999841,ft,4195.92585958
890,2015-06-10,1278.9060099999842,ft,4195.88585958
891,2015-06-11,1278.9060099999842,ft,4195.88585958
892,2015-06-12,1278.9060099999842,ft,4195.88585958
